。。。虽然但是我在吃饭啊，，，,2
一般,2
虽然玩梗，但是已经过度刷屏了,2
有刷屏的倾向，不知道有没有一人多刷,2
部分弹幕在合理的调侃视频内容，大部分弹幕存在刷屏嫌疑，但视频观看体验并没有因为这些弹幕有较大的降低，整体弹幕氛围一般，但没有不良发言。,2
挺可爱的，就是刷屏有点多，看多了会比较烦,2
刷屏有些多，但不影响观感,2
一般,2
全是表情,2
虽然是无意义刷屏，但对观者影响不大,2
无理由刷屏,2
无意义,2
无意义刷屏,2
过多无意义表情刷屏,2
大部分表情弹幕与视频无关,2
无意义表情过多,2
无意义刷屏，但不过于影响,2
颜表情，但刷屏，一般,2
幽默,2
刷屏,2
可可爱爱的，虽然刷屏了,2
刷屏,2
虽然是有点刷屏，但也还好吧，普通,2
表情有点多，不太清楚含义,2
无关弹幕刷屏,2
刷屏,2
不确定表情弹幕是否为同一人发布，有弹幕刷屏嫌疑,2
我看的时候，视频里刷屏的表情已经没了……好截图里的不一样。,2
大多是与视频无关的内容，许多跟风，给予差,2
这个是视频里人的表情吧，虽然刷的有点多，算普通,2
无关弹幕,2
刷屏,2
刷屏,2
刷屏,2
刷屏,2
人不能，至少不应该,0
有评论刷屏。视频内容本身会引起人的不适。,2
正常,2
刷屏,2
个人感觉颜文字刷屏并不严重,2
刷屏,2
刷屏,2
刷屏,2
有一点刷屏,2
我觉的正常,2
无用的颜文字刷屏，算普通。,2
内容不适,2
很多和视频无关的梗好吧，刷屏了属于是。,2
玩梗,2
一般,2
刷屏。差,2
一般,2
不清楚什么意思 也许刷屏了,2
一般,2
只是表情，还可以。,2
就。。。。似乎是表达惊讶还是模仿这个人的表情那样。。。。没什么亮点，建议普通,2
没有什么太大问题。,2
部分恶意,2
部分言论过于负面,2
部分言论夹杂负面情绪过多,2
真话都不能说吗,2
有部分弹幕恶意,2
打工人的无奈,2
营销号,2
一般,2
个别弹幕引战,2
营销号视频，有不少引战弹幕,2
包含偏激的弹幕,2
算是一般吧,2
部分偏激，整体正常。,0
部分偏激,2
部分偏激,2
有些弹幕可能有些偏激，但是确实是真实情况。属于正常的范围吧。不算好也不算坏,2
部分弹幕偏激引战,2
有个别弹幕偏激,2
符合真实情况,2
大部分观众在发弹幕是未考虑到人的价值，反而将人与锯片物质化，从简单的金钱角度进行衡量人与工具并不妥当,2
正常,2
都是对于视频的正常交流,2
正常,2
弹幕有些人故意抬杠，小老板舍不舍得用和本视频并无任何关系。,2
人权高于一切,2
和谐氛围,2
