“大多正常讨论，但要注意17楼”“全国人民一致认为人民比经济重要”“的楼中楼存在的不友善评论”,4,1,,,
“蹬死我”是指up腿粗还是什么呢……感觉什么意思也好也不太合适…,2,1,,,
“帝王柑”那句是一个观众的健身打卡弹幕，全文是“帝王柑22.4.9恢复期 1.5倍速打卡”（需要去原视频弹幕池查找），但在UP其他几个视频里未见到该用户的类似打卡弹幕。个人觉得在健身类视频里偶尔打卡可以理解。,4,1,,,
“哈哈哈**诛心”有问题,2,1,,,
“空空如也”是在说女生的身材，我觉得这是很不礼貌的行为，大面积这样的调侃令人不适,2,1,,,
“抢楼”行为,2,1,,,
“我不是睡睡”小盆友为啥打广告,2,1,,,
“我第一次这么前面”与视频无关,4,1,,,
“星巴克没人说贵，现在手磨咖啡一堆人说”虽然本意不坏，但符合引战的定义,4,1,,,
“长寿的原因是有钱”略有不妥,0,1,,,
①号楼中楼吵起来了。,2,1,,,
1楼层引战,2,1,,,
2楼葬礼不合适，10楼好短是性暗示,0,1,,,
5楼有点争吵,2,1,,,
homo梗与视频内容无关，不建议硬玩，可能会影响其他人的观看体验。,2,1,,,
homo里的梗不建议乱用，这里的幻视有些ky，毕竟不是所有人都看得懂,2,1,,,
jojo梗过分了,-2,1,,,
lsp,-4,1,,,
ohh刷屏，没营养,2,1,,,
UP主跳的很好，我觉得弹幕本意是在夸UP主，但被部分人误解成人生攻击了，只能说不太恰当的发言吧,2,1,,,
把钱和长寿划等号，不可取,2,1,,,
包含x暗示,2,1,,,
包含引战攻击的弹幕,2,1,,,
包含引战内容,2,1,,,
本身没什么问题 但是容易引战,2,1,,,
标题党,2,1,,,
标题有毛病,2,1,,,
表达个人观点，但带脏字不合适。,2,1,,,
不行,2,1,,,
不行，这个氛围有点不合适。,2,1,,,
不好，刷别人人名,2,1,,,
不合时宜的评论强行泼冷水，没有意义就是杠人一下,2,1,,,
不合适,2,1,,,
不合适 灌水评论,2,1,,,
不合适，不知道是不是在玩梗,2,1,,,
不建议的玩梗,2,1,,,
不建议刷很多重复弹幕,2,1,,,
不建议刷屏但结合视频内容其实这种弹幕并没有恶意，要的是一个好的氛围,2,1,,,
