表达不太得体，但是我觉得没有恶意,2,1
单纯玩梗。,2,1
弹幕还好,2,1
弹幕气氛正常,2,1
弹幕正常,2,1
氛围不错！,2,1
氛围一般，内容属于正常讨论范畴,2,1
哈哈哈，有趣,-2,1
还行,2,1
还好，玩梗的一堆。,2,1
还好吧,2,1
合理表达自己观点,2,1
合理调侃,-4,1
合理玩梗,2,1
内容正常，评论区个别搞颜色,2,1
普通,2,1
普通弹幕,2,1
玩梗,2,1
玩梗，与视频无关，但无法判断是否恶意，,2,1
玩梗的挺正常,2,1
玩梗而已，没啥上纲上线的,-2,1
我的理解是左边的人瘦右边的人胖，属于正常玩梗,2,1
一般,2,1
一般般吧,2,1
语言不当，容易引战，故一般,2,1
语言风格幽默，但是引导他人说脏话，一般吧,2,1
正常,2,1
正常吧,2,1
正常弹幕,2,1
正常的氛围,2,1
正常夸up主,2,1
正常讨论，都是理性发言,0,1
正常吐槽,2,1
正常玩梗,0,1
只能说男生的正常发言（在我感觉中男生做这种事情太多了 所以很平常,2,1
hp意思不确定，无法判断,2,2
不理解王守真是什么意思,2,2
不清楚嘞hp是什么意思,2,2
方言文字，不清楚其中意思,2,2
和家庭有关，我还没成家立业，对此没有成熟的看法，所以无法作出公立判断,2,2
极其恶俗低俗，简直是无知和幼稚,2,2
看不懂,2,2
看不懂，无法判断,2,2
看不懂该弹幕在说啥,2,2
平时不看，不懂,2,2
实在是看不懂,2,2
我不知道,2,2
无法辨别,2,2
无法判断,2,2
语焉不详，无法判断。,2,2
1、发送人名 2、评论低俗,2,
1和0有很多意思，此弹幕也可以作很多种解释，但此处发出来是什么意思，想必很多人都能get到那个点。本视频是美食视频，结合视频前后内容，此处对视频中的人物做出评判显然不合时宜。几部视频或者几条弹幕出现这种情况，我们当然也不能说罪大恶极，因为并非不可以接受，仅仅是让冲着标题点进来的观众不明所以，一般大家也会选择无视或者一笑了之。但投下不合适的原因是，不希望这种风气得到助长，不希望以后的视频中满屏都是与视频内容无关的，无法引人共鸣的弹幕。,4,
①刷人名 ②低俗发言,2,
hp，憨批？和平？还是删了吧，以防万一,2,
hp应该是方言脏话简写吧。。。,2,
暴露个人信息。。,2,
本意是反讽美国的“人权”是虚伪的，算一般吧。,2,
本意是讽刺自由美利坚，但话题具有一定争议，故一般,2,
本意应该只是开个玩笑,2,
并不合适,2,
不大好评论 视频内容容易引发男女矛盾，导致评论男女引战 无法判断,2,
不懂这条弹幕的意思，无法判断,2,
不符合弹幕礼仪，发人名以及低俗弹幕,2,
不该开这么残忍的笑话，对死者不尊重,0,
不好,2,
不合氛围,2,
不合设,2,
不合适,2,
不合适！,2,
不合适，都出现人身攻击的词,2,
不合适，都直接骂了,2,
不合适，骂人的,2,
不合适，与视频无关,2,
不合适吧,3,
